perturbation,capacity,phase,spearman,mean_phenotype_drift,curvature_variance
0.75,16,fragmented,-0.0422729337895976,6328.314732483336,4166.663718495975
0.75,32,fragmented,-0.0184783665908129,6101.405055415534,3831.5271073292806
0.75,48,fragmented,-0.0306907754092607,5941.088660714438,3299.167125957915
0.75,64,fragmented,-0.0322273611615312,5829.086758624482,2799.8144250729724
1.0,2,fragmented,-0.0063965316797974,6717.978156672731,35.022713417185685
1.0,4,fragmented,-0.0025791605967916,6441.188072615338,36.98698890686505
1.0,6,fragmented,-0.0015627956904169,6264.400147903264,39.60386669541476
1.0,8,fragmented,-0.001023785052224,6161.104851904649,42.50777616584139
1.0,4,fragmented,-0.0225841157304849,6717.978156672731,35.022713417185685
1.0,8,fragmented,-0.0133287438986932,6441.188072615338,36.98698890686505
1.0,12,fragmented,-0.0120095976426585,6264.400147903264,39.60386669541476
1.0,16,fragmented,-0.0118470663808953,6161.104851904649,42.50777616584139
1.0,8,fragmented,-0.0089173398932719,6717.978156672731,35.022713417185685
1.0,16,fragmented,-0.0094999044797254,6441.188072615338,36.98698890686505
1.0,24,fragmented,-0.0122596442311941,6264.400147903264,39.60386669541476
1.0,32,fragmented,-0.0122089043806782,6161.104851904649,42.50777616584139
1.0,16,fragmented,-0.0211351078979473,6717.978156672731,35.022713417185685
1.0,32,fragmented,-0.0131100859517624,6441.188072615338,36.98698890686505
1.0,48,fragmented,-0.0173904794350521,6264.400147903264,39.60386669541476
1.0,64,fragmented,-0.0163827546612454,6161.104851904649,42.50777616584139
